type	patent_id	fulfilled_date	project.queried_project_id
patent_application	US-20180214491-A1	1-Aug-2018	K12CA076930
patent_application	US-20200046775-A1	12-Feb-2020	K12CA076930
patent_application	US-20180142212-A1	23-May-2018	K12CA076930
patent_application	US-20200384022-A1	9-Dec-2020	K12CA090354
patent_application	US-20220202900-A1	29-Jun-2022	P01CA214278
patent_application	US-20220041984-A1	9-Feb-2022	P01CA214278
patent_application	US-20200370013-A1	25-Nov-2020	P01CA214278
patent_application	US-20220389102-A1	7-Dec-2022	R01CA205426
patent_application	US-20220041988-A1	9-Feb-2022	R01CA213102
patent_application	US-20200098449-A1	25-Mar-2020	R01CA226776
patent_application	US-20210149174-A1	19-May-2021	R33CA202881
patent_application	US-20180299463-A1	17-Oct-2018	R33CA225248
patent_application	US-20200323863-A1	14-Oct-2020	R33CA225291
patent_application	US-20210048410-A1	17-Feb-2021	R33CA225296
patent_application	US-20210035337-A1	3-Feb-2021	R33CA225400
patent_application	US-20220249439-A1	10-Aug-2022	R37CA230617
patent_application	US-20220333136-A1	19-Oct-2022	R42CA228875
patent_application	US-20230025280-A1	25-Jan-2023	R44CA217528
patent_application	US-20220154183-A1	18-May-2022	U01CA217885
patent_application	US-20210145883-A1	19-May-2021	U01CA217885
patent_application	US-20210231666-A1	28-Jul-2021	U01CA224766
patent_application	US-20220289841-A1	14-Sep-2022	U01CA232563
patent_application	US-20220380937-A1	30-Nov-2022	U01CA233074
patent_application	US-20220308061-A1	28-Sep-2022	U01CA233074
patent_application	US-20220290247-A1	14-Sep-2022	U01CA233100
patent_application	US-20210108229-A1	14-Apr-2021	U01CA250554
patent_application	US-20210236662-A1	4-Aug-2021	U01DE028233
patent_application	US-20220023445-A1	26-Jan-2022	U01DE028233
patent_application	US-20210170055-A1	9-Jun-2021	U01DE028233
patent_application	US-20190292599-A1	25-Sep-2019	U24CA224316
patent_application	US-20220226464-A1	20-Jul-2022	U2CCA233195
patent_application	US-20210118522-A1	21-Apr-2021	U2CCA233195
patent_application	US-20220058839-A1	23-Feb-2022	U2CCA233280
patent_application	US-20210164054-A1	2-Jun-2021	U54CA209978
patent_application	US-20220133715-A1	4-May-2022	U54CA224019
patent_application	US-20210353619-A1	17-Nov-2021	U54CA224019
patent_application	US-20220125839-A1	27-Apr-2022	U54CA224070
patent_application	US-20210153484-A1	26-May-2021	U54CA224070
patent_application	US-20210101952-A1	7-Apr-2021	U54CA224070
patent_application	US-20170297677-A1	18-Oct-2017	U54CA231641
patent_application	US-20220315665-A1	5-Oct-2022	U54CA232568
patent_application	US-20220257653-A1	17-Aug-2022	U54CA232568
patent_application	US-20220218751-A1	13-Jul-2022	U54CA232568
patent_application	US-20220071903-A1	9-Mar-2022	U54CA244719
patent_application	US-20210338579-A1	3-Nov-2021	U54CA244719
patent_application	US-20220227734-A1	20-Jul-2022	P01CA154303
patent_application	US-20220153722-A1	18-May-2022	P01CA154303
patent_application	US-20210085688-A1	24-Mar-2021	P01CA154303
patent_application	US-20210077469-A1	17-Mar-2021	P01CA154303
patent_application	US-20210078977-A1	17-Mar-2021	P01CA154303
patent_application	US-20200377879-A1	2-Dec-2020	P01CA154303
patent_application	US-20200375999-A1	2-Dec-2020	P01CA154303
patent_application	US-20190106417-A1	10-Apr-2019	P01CA154303
patent_application	US-20200102298-A1	1-Apr-2020	P01CA154303
patent_application	US-20220017510-A1	19-Jan-2022	P01CA154303
patent_application	US-20180290975-A1	10-Oct-2018	P01CA154303
patent_application	US-20200002279-A1	1-Jan-2020	P01CA154303
patent_application	US-20210094913-A1	31-Mar-2021	P01CA154303
patent_application	US-20180194758-A1	11-Jul-2018	P01CA154303
patent_application	US-20170130271-A1	10-May-2017	P01CA154303
patent_application	US-20220390432-A1	7-Dec-2022	P01CA155258
patent_application	US-20180133297-A1	16-May-2018	P01CA155258
patent_application	US-20210170004-A1	9-Jun-2021	P01CA155258
patent_application	US-20220380368-A1	30-Nov-2022	P50CA186786
patent_application	US-20210155695-A1	26-May-2021	P50CA186786
patent_application	US-20190382415-A1	18-Dec-2019	P50CA186786
